Power,Voltage
-30,0.028
-29,0.034
-28,0.043
-27,0.051
-26,0.061
-25,0.074
-24,0.089
-23,0.106
-22,0.126
-21,0.148
-20,0.173
-19,0.201
-18,0.232
-17,0.266
-16,0.304
-15,0.345
-14,0.392
-13,0.443
-12,0.497
-11,0.558
-10,0.626
-9,0.701
-8,0.784
-7,0.873
-6,0.975
-5,1.087
-4,1.213
-3,1.345
-2,1.464
-1,1.62
0,1.79
1,1.972
2,2.165
3,2.362
4,2.561
5,2.761
6,2.952
7,3.135
8,3.308
9,3.469
10,3.62
