Freq,Voltage
1000,0.016
1050,0.016
1100,0.012
1150,0.01
1200,0.011
1250,0.014
1300,0.016
1350,0.013
1400,0.012
1450,0.013
1500,0.015
1550,0.016
1600,0.017
1650,0.019
1700,0.021
1750,0.021
1800,0.022
1850,0.026
1900,0.036
1950,0.047
2000,0.049
2050,0.054
2100,0.072
2150,0.102
2200,0.14
2250,0.191
2300,0.233
2350,0.18
2400,0.09
2450,0.042
2500,0.024
2550,0.016
2600,0.009
2650,0.004
2700,0.003
2750,0.004
2800,0.008
2850,0.016
2900,0.036
2950,0.062
3000,0.06
